,name,state,totpts,prescore,avg_opps_presc
0, GARY HUA                        ,   ON ,6.0,1794,1605.2857142857142
1, DAKSHESH DARURI                 ,   MI ,6.0,1553,1469.2857142857142
2, ADITYA BAJAJ                    ,   MI ,6.0,1384,1563.5714285714287
3, PATRICK H SCHILLING             ,   MI ,5.5,1716,1573.5714285714287
4, HANSHI ZUO                      ,   MI ,5.5,1655,1500.857142857143
5, HANSEN SONG                     ,   OH ,5.0,1686,1518.7142857142858
6, GARY DEE SWATHELL               ,   MI ,5.0,1649,1372.142857142857
7, EZEKIEL HOUGHTON                ,   MI ,5.0,1641,1468.4285714285713
8, STEFANO LEE                     ,   ON ,5.0,1411,1523.142857142857
9, ANVIT RAO                       ,   MI ,5.0,1365,1554.142857142857
10, CAMERON WILLIAM MC LEMAN        ,   MI ,4.5,1712,1467.5714285714287
11, KENNETH J TACK                  ,   MI ,4.5,1663,1506.1666666666667
12, TORRANCE HENRY JR               ,   MI ,4.5,1666,1497.857142857143
13, BRADLEY SHAW                    ,   MI ,4.5,1610,1515.0
14, ZACHARY JAMES HOUGHTON          ,   MI ,4.5,1220,1483.857142857143
15, MIKE NIKITIN                    ,   MI ,4.0,1604,1385.8
16, RONALD GRZEGORCZYK              ,   MI ,4.0,1629,1498.5714285714287
17, DAVID SUNDEEN                   ,   MI ,4.0,1600,1480.0
18, DIPANKAR ROY                    ,   MI ,4.0,1564,1426.2857142857142
19, JASON ZHENG                     ,   MI ,4.0,1595,1410.857142857143
20, DINH DANG BUI                   ,   ON ,4.0,1563,1470.4285714285713
21, EUGENE L MCCLURE                ,   MI ,4.0,1555,1300.3333333333333
22, ALAN BUI                        ,   ON ,4.0,1363,1213.857142857143
23, MICHAEL R ALDRICH               ,   MI ,4.0,1229,1357.0
24, LOREN SCHWIEBERT                ,   MI ,3.5,1745,1363.2857142857142
25, MAX ZHU                         ,   ON ,3.5,1579,1506.857142857143
26, GAURAV GIDWANI                  ,   MI ,3.5,1552,1221.6666666666667
27, SOFIA ADINA STANESCU-BELLU      ,   MI ,3.5,1507,1522.142857142857
28, CHIEDOZIE OKORIE                ,   MI ,3.5,1602,1313.5
29, GEORGE AVERY JONES              ,   ON ,3.5,1522,1144.142857142857
30, RISHI SHETTY                    ,   MI ,3.5,1494,1259.857142857143
31, JOSHUA PHILIP MATHEWS           ,   ON ,3.5,1441,1378.7142857142858
32, JADE GE                         ,   MI ,3.5,1449,1276.857142857143
33, MICHAEL JEFFERY THOMAS          ,   MI ,3.5,1399,1375.2857142857142
34, JOSHUA DAVID LEE                ,   MI ,3.5,1438,1149.7142857142858
35, SIDDHARTH JHA                   ,   MI ,3.5,1355,1388.1666666666667
36, AMIYATOSH PWNANANDAM            ,   MI ,3.5,980,1384.8
37, BRIAN LIU                       ,   MI ,3.0,1423,1539.1666666666667
38, JOEL R HENDON                   ,   MI ,3.0,1436,1429.5714285714287
39, FOREST ZHANG                    ,   MI ,3.0,1348,1390.5714285714287
40, KYLE WILLIAM MURPHY             ,   MI ,3.0,1403,1248.5
41, JARED GE                        ,   MI ,3.0,1332,1149.857142857143
42, ROBERT GLEN VASEY               ,   MI ,3.0,1283,1106.5714285714287
43, JUSTIN D SCHILLING              ,   MI ,3.0,1199,1327.0
44, DEREK YAN                       ,   MI ,3.0,1242,1152.0
45, JACOB ALEXANDER LAVALLEY        ,   MI ,3.0,377,1357.7142857142858
46, ERIC WRIGHT                     ,   MI ,2.5,1362,1392.0
47, DANIEL KHAIN                    ,   MI ,2.5,1382,1355.8
48, MICHAEL J MARTIN                ,   MI ,2.5,1291,1285.8
49, SHIVAM JHA                      ,   MI ,2.5,1056,1296.0
50, TEJAS AYYAGARI                  ,   MI ,2.5,1011,1356.142857142857
51, ETHAN GUO                       ,   MI ,2.5,935,1494.5714285714287
52, JOSE C YBARRA                   ,   MI ,2.0,1393,1345.3333333333333
53, LARRY HODGE                     ,   MI ,2.0,1270,1206.1666666666667
54, ALEX KONG                       ,   MI ,2.0,1186,1406.0
55, MARISA RICCI                    ,   MI ,2.0,1153,1414.4
56, MICHAEL LU                      ,   MI ,2.0,1092,1363.0
57, VIRAJ MOHILE                    ,   MI ,2.0,917,1391.0
58, SEAN M MC CORMICK               ,   MI ,2.0,853,1319.0
59, JULIA SHEN                      ,   MI ,1.5,967,1330.2
60, JEZZEL FARKAS                   ,   ON ,1.5,955,1327.2857142857142
61, ASHWIN BALAJI                   ,   MI ,1.0,1530,1186.0
62, THOMAS JOSEPH HOSMER            ,   MI ,1.0,1175,1350.2
63, BEN LI                          ,   MI ,1.0,1163,1263.0
